Poz No,Parça No,Parça Adı,Adet
1,CP0695,PP Pompa Basınç Bloğu Bağlantı Sacı,1
2,OZ03412,WALVOIL Basınç Tahliye Valfi - VMP/B/L 5-38/TS.S,1
3,OZ01320,M6x50 Silindir Başlı Imbus Cıvata - 8.8 - DIN912 - Siyah,2
4,OZ02390,"TEKSAN Döner Somunlu Ters Dirsek G3/8"" - TR540-6",2
5,OZ02756,"Keçeli Pul - 3/8""",5
6,OZ02228,"TEKSAN Hidrolik Nipel - BSP - G3/8"" - G3/8"" - Blok Tipi - TR460-6-6",4
7,OZ03625,"Sensör Adaptörü - G3/8"" - TCG38N",1
8,OZ03363,"TEKSAN BSP Dişi T Dirsek - G3/8"" - TR380-6",1
9,OZ01774,M6 - Düz Rondela - DIN125A - Galvanizli,4
10,OZ01755,M6 - Altıköşe Fiberli Somun - DIN982 - Galvanizli,2
11,OZ02391,"TEKSAN BSP Döner Somunlu Ters Rakor - G3/8"" - G3/8"" - TR530-6-6",1
